GEOID,community_louvain,community_leiden,median_household_income,median_housing_value,median_age,pct_unemployed,pct_transit,pct_bachelors,pct_white,pct_black,pct_hispanic
170314005002,1,6,21541,90000,26.3,0.09973753280839895,0.5480769230769231,0.17073170731707318,0.0,0.9788182831661093,0.0
170314804006,9,11,90931,196900,50.1,0.0,0.1791767554479419,0.15735294117647058,0.018867924528301886,0.9811320754716981,0.0
170314804007,7,12,70098,171400,50.8,0.06926406926406926,0.0,0.11602209944751381,0.0,1.0,0.0
170312909001,2,4,12536,-666666666,27.3,0.501466275659824,0.5588235294117647,0.107421875,0.0,1.0,0.0
170312909002,5,8,25625,124000,33.3,0.09090909090909091,0.21,0.01890359168241966,0.0,1.0,0.0
170312909003,13,5,24474,104200,40.2,0.3228915662650602,0.2178988326848249,0.06026058631921824,0.0,1.0,0.0
170312909004,13,5,34696,167000,23.2,0.3521739130434783,0.24496644295302014,0.04060913705583756,0.0,0.9866352201257862,0.0
170318387002,0,9,26158,140300,27.0,0.18478260869565216,0.35428571428571426,0.0196078431372549,0.04675118858954041,0.9064976228209192,0.04675118858954041
170313102001,11,2,77411,222300,39.3,0.03954802259887006,0.10213414634146341,0.2506426735218509,0.2470713525026624,0.06815761448349308,0.5069222577209798
170313102002,10,3,65179,267200,31.9,0.11513859275053305,0.20293398533007334,0.37664473684210525,0.30145278450363194,0.07142857142857142,0.5690072639225182
170314805001,9,11,54740,124300,53.1,0.046948356807511735,0.2702020202020202,0.1279229711141678,0.0,0.9715189873417721,0.028481012658227847
170314105002,10,3,33375,313800,28.7,0.020172910662824207,0.2996894409937888,0.29005847953216374,0.338473400154202,0.5520431765612953,0.040092521202775636
170312912002,1,6,24871,137500,23.2,0.14619883040935672,0.4589041095890411,0.1336405529953917,0.048034934497816595,0.9006550218340611,0.05131004366812227
170318431001,2,4,17639,-666666666,27.0,0.12030075187969924,0.32051282051282054,0.02385685884691849,0.053784860557768925,0.9322709163346613,0.013944223107569721
170318433001,0,9,50486,157700,36.8,0.15458937198067632,0.2785714285714286,0.12052593133674215,0.07991475759190197,0.6776771443793287,0.23548215237080447
170318387004,12,13,-666666666,-666666666,45.5,0.46078431372549017,0.5272727272727272,0.0,0.0,0.9330628803245437,0.06693711967545639
170318431002,12,13,-666666666,-666666666,43.2,0.025787965616045846,0.3764705882352941,0.1325581395348837,0.1978984238178634,0.5831873905429071,0.15761821366024517
170314008001,2,4,20904,-666666666,25.0,0.19047619047619047,0.7352941176470589,0.0,0.0,0.8956916099773242,0.0
170314008002,0,9,12530,175000,30.5,0.274442538593482,0.44680851063829785,0.109375,0.012101910828025478,0.9636942675159236,0.024203821656050957
170318363001,7,12,57578,192900,33.1,0.16986301369863013,0.10231023102310231,0.30994152046783624,0.24511930585683298,0.6876355748373102,0.0
170314105001,10,3,81652,307900,28.8,0.0,0.16033755274261605,0.2103861517976032,0.49267100977198697,0.2744299674267101,0.008957654723127036
170314106002,2,4,20509,-666666666,21.9,0.06296296296296296,0.16235632183908047,0.41280353200883,0.5287739783152627,0.15262718932443703,0.1267723102585488
170314107001,10,3,39514,244500,30.8,0.052873563218390804,0.2127831715210356,0.1627069834413247,0.5242451967063129,0.20997255260750228,0.05169258920402562
170314108001,10,3,27614,270700,31.1,0.028871391076115485,0.47058823529411764,0.2765957446808511,0.4083129584352078,0.25590872045639773,0.09616951915240424
170314108002,10,3,45114,104800,36.1,0.03415154749199573,0.3111612175873732,0.2483818770226537,0.43925792938360264,0.21962896469180132,0.0353081986834231
170314905001,7,8,59297,156600,36.0,0.25060240963855424,0.15862068965517243,0.2369281045751634,0.047666335650446874,0.8738828202581926,0.021847070506454815
170314907001,6,10,-666666666,98800,36.5,0.2849462365591398,0.31954887218045114,0.12686567164179105,0.0,1.0,0.0
170318216001,11,0,81920,166200,33.0,0.0,0.0,0.06884057971014493,0.2969569779643232,0.4281217208814271,0.21196222455403987
170318392002,10,3,46688,157800,45.1,0.09137709137709138,0.2394578313253012,0.25360230547550433,0.15500794912559618,0.4888712241653418,0.07790143084260731
170312922001,5,8,35329,145300,32.7,0.15384615384615385,0.21363636363636362,0.10989010989010989,0.023255813953488372,0.8443649373881932,0.13237924865831843
170312922002,13,5,36898,200000,26.1,0.23739495798319327,0.23415977961432508,0.10058309037900874,0.03709311127933384,0.8122634367903103,0.14155942467827404
170312925001,1,6,29471,123800,25.9,0.0936768149882904,0.5813953488372093,0.09357798165137615,0.0,0.9187380497131931,0.0
170312922003,13,5,26848,115100,46.3,0.24666666666666667,0.25663716814159293,0.08961303462321792,0.03194888178913738,0.9680511182108626,0.0
170312924001,2,4,31172,-666666666,42.5,0.0,0.6914498141263941,0.06638115631691649,0.043010752688172046,0.9336917562724014,0.021505376344086023
170312925002,0,9,40164,180200,35.8,0.21606118546845124,0.4073170731707317,0.10223642172523961,0.035385704175513094,0.697098372257608,0.12809624911535739
170312925003,9,11,52931,156800,46.4,0.07733333333333334,0.2947976878612717,0.11967213114754098,0.0,0.900126422250316,0.09987357774968394
170313106001,10,3,61250,279300,34.0,0.042735042735042736,0.36904761904761907,0.2967567567567568,0.3352100476396708,0.07492420961455175,0.5279341706366393
170313104001,10,3,81618,369600,30.2,0.008684863523573201,0.3016270337922403,0.3386363636363636,0.34603421461897355,0.061430793157076204,0.46267496111975115
170313109003,8,1,55446,190000,30.6,0.09674027339642481,0.46449359720605354,0.28335056876938985,0.15656229180546302,0.0,0.8061292471685543
