index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 4, Census Tract 8233.04, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:823304> block group:4",38991,149,757,494,154,611,1259,37.6,834,1203,71,636,523,0,,,157000,170318233044
"Block Group 3, Census Tract 8248, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824800> block group:3",36673,62,990,88,504,828,1562,37.5,-666666666,1530,127,913,737,39,,,39600,170318248003
"Block Group 4, Census Tract 8248, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824800> block group:4",58355,111,938,176,80,1251,1589,33.1,1097,1426,108,677,569,0,,,122700,170318248004
"Block Group 2, Census Tract 317, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:2",42500,431,1137,886,296,159,1403,36.1,921,1381,67,1032,947,287,,,292500,170310317002
"Block Group 3, Census Tract 317, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:031700> block group:3",80455,417,1260,997,261,53,1434,33.9,1068,1410,12,1226,1214,525,,,324000,170310317003
"Block Group 2, Census Tract 813, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:081300> block group:2",-666666666,53,191,141,12,20,191,61.3,-666666666,191,36,108,72,52,,,284700,170310813002
"Block Group 1, Census Tract 813, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:081300> block group:1",87708,317,679,535,14,33,776,37.3,1841,776,18,587,569,127,,,260000,170310813001
"Block Group 1, Census Tract 1002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100200> block group:1",106620,289,971,1008,0,265,1309,43.4,898,1196,43,786,661,70,,,321100,170311002001
"Block Group 2, Census Tract 1002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100200> block group:2",113287,166,712,578,0,229,887,39.3,-666666666,829,13,571,524,43,,,346000,170311002002
"Block Group 4, Census Tract 1002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100200> block group:4",68250,208,602,678,133,28,870,32.0,876,760,0,484,430,47,,,376500,170311002004
"Block Group 5, Census Tract 1002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100200> block group:5",64932,234,895,949,0,65,1134,35.8,1066,1092,56,758,702,66,,,199800,170311002005
"Block Group 3, Census Tract 1003, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100300> block group:3",85417,84,545,544,0,39,750,44.6,1081,704,9,372,363,55,,,371600,170311003003
"Block Group 4, Census Tract 1003, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100300> block group:4",105664,102,819,646,15,191,1070,39.9,1097,1017,0,550,550,55,,,458000,170311003004
"Block Group 2, Census Tract 1003, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100300> block group:2",70132,219,1009,967,7,182,1194,54.4,931,1128,28,526,498,94,,,373300,170311003002
"Block Group 6, Census Tract 1003, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:100300> block group:6",24336,347,1317,1330,7,94,1459,72.1,1805,1434,18,564,533,54,,,343000,170311003006
"Block Group 3, Census Tract 1204, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:120400> block group:3",82500,297,1021,569,18,538,1494,35.0,1255,1379,28,817,775,188,,,332500,170311204003
"Block Group 2, Census Tract 1204, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:120400> block group:2",72039,178,880,560,0,312,1147,33.4,1178,1135,22,714,682,196,,,379700,170311204002
"Block Group 6, Census Tract 1503, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150300> block group:6",46786,257,923,713,0,580,1449,34.5,925,1349,57,812,755,147,,,316900,170311503006
"Block Group 1, Census Tract 1503, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150300> block group:1",59628,126,666,669,49,69,787,50.2,869,758,0,542,542,204,,,233300,170311503001
"Block Group 5, Census Tract 1503, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150300> block group:5",76797,204,619,468,0,81,683,46.5,1227,664,13,394,381,33,,,317700,170311503005
"Block Group 3, Census Tract 1503, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150300> block group:3",81314,178,859,599,0,637,1490,35.4,1343,1423,71,696,625,144,,,339000,170311503003
"Block Group 3, Census Tract 7502, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:750200> block group:3",145588,145,458,481,162,90,742,39.8,-666666666,671,0,350,343,109,,,364600,170317502003
"Block Group 1, Census Tract 7502, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:750200> block group:1",-666666666,63,390,56,466,17,539,39.9,887,512,0,241,241,31,,,189000,170317502001
"Block Group 2, Census Tract 3008, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:300800> block group:2",31552,85,1230,15,0,2043,2058,29.8,749,1845,14,879,865,307,,,201900,170313008002
"Block Group 1, Census Tract 612, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:061200> block group:1",138000,701,1446,1698,28,252,2164,28.2,1862,1968,28,1514,1464,826,,,769000,170310612001
"Block Group 1, Census Tract 615, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:061500> block group:1",123409,763,1511,1677,27,177,2000,29.5,1811,1903,38,1631,1584,760,,,538500,170310615001
"Block Group 1, Census Tract 629, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:062900> block group:1",111029,356,847,829,39,117,1080,30.3,1524,1037,27,849,822,508,,,588800,170310629001
"Block Group 2, Census Tract 629, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:062900> block group:2",171136,628,954,1077,111,26,1313,28.1,1511,1280,0,1105,1099,579,,,626600,170310629002
"Block Group 3, Census Tract 629, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:062900> block group:3",119621,529,994,1162,126,58,1425,29.4,1671,1325,33,1009,933,553,,,618800,170310629003
"Block Group 1, Census Tract 2107, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:210700> block group:1",54722,217,552,111,19,359,617,33.1,1184,591,25,462,437,72,,,290700,170312107001
"Block Group 3, Census Tract 2107, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:210700> block group:3",56979,395,1432,870,27,951,1996,32.2,1221,1771,51,1124,1031,369,,,426500,170312107003
"Block Group 2, Census Tract 2107, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:210700> block group:2",93063,243,1068,519,0,1043,1627,31.9,1237,1490,50,902,842,245,,,513100,170312107002
"Block Group 3, Census Tract 2211, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221100> block group:3",81207,359,1082,515,20,946,1532,31.2,1318,1486,36,1045,975,224,,,339600,170312211003
"Block Group 1, Census Tract 2211, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221100> block group:1",66435,442,1347,1016,96,494,1750,32.1,1322,1668,47,1150,1103,478,,,367900,170312211001
"Block Group 2, Census Tract 2211, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221100> block group:2",59231,396,1226,702,214,588,1586,32.2,1025,1457,73,1048,954,304,,,346900,170312211002
"Block Group 1, Census Tract 2212, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221200> block group:1",120588,506,1188,891,111,333,1539,31.5,1449,1452,48,1190,1112,356,,,386400,170312212001
"Block Group 1, Census Tract 630, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:063000> block group:1",85000,513,1031,941,45,74,1288,29.5,1290,1188,29,1038,982,524,,,290800,170310630001
"Block Group 1, Census Tract 712, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:071200> block group:1",116875,362,683,747,146,97,1030,27.9,1739,957,0,647,629,301,,,417300,170310712001
"Block Group 1, Census Tract 2603, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:260300> block group:1",23289,57,998,24,1518,126,1668,31.0,1002,1508,128,638,499,116,,,-666666666,170312603001
"Block Group 2, Census Tract 2610, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:261000> block group:2",50962,26,910,14,993,98,1158,40.0,1008,1131,75,579,492,77,,,142300,170312610002
"Block Group 1, Census Tract 2705, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:270500> block group:1",15571,78,773,0,1194,77,1271,32.6,943,1209,131,526,395,155,,,-666666666,170312705001
"Block Group 1, Census Tract 2715, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:271500> block group:1",37109,113,940,67,1406,9,1527,31.8,1084,1488,57,642,585,136,,,188100,170312715001
"Block Group 4, Census Tract 2306, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:230600> block group:4",44000,49,507,33,211,635,879,39.5,902,796,47,429,382,40,,,116100,170312306004
"Block Group 2, Census Tract 2306, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:230600> block group:2",36250,22,665,95,251,670,1091,42.3,975,1054,43,615,572,82,,,158600,170312306002
