index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 1, Census Tract 8016.03, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801603> block group:1",95573,226,1268,1035,94,323,1710,45.1,1718,1649,32,825,771,36,,,443100,170318016031
"Block Group 1, Census Tract 8016.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801608> block group:1",108171,598,2187,1469,17,0,2568,56.2,2090,2472,0,1222,1151,143,,,413700,170318016081
"Block Group 3, Census Tract 8016.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801608> block group:3",197721,155,444,389,0,0,698,44.7,-666666666,659,0,317,317,64,,,472800,170318016083
"Block Group 4, Census Tract 8016.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801608> block group:4",141179,779,1922,2119,0,61,2720,50.7,-666666666,2594,94,1090,996,157,,,562600,170318016084
"Block Group 2, Census Tract 8016.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801608> block group:2",76250,311,972,909,10,5,1081,77.4,2097,1054,0,378,357,61,,,673500,170318016082
"Block Group 1, Census Tract 8019.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801901> block group:1",84201,615,1781,1876,0,114,2244,54.8,1982,2175,82,1153,1039,80,,,337100,170318019011
"Block Group 2, Census Tract 8019.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:801901> block group:2",93750,248,1001,690,0,485,1302,58.4,1758,1270,30,522,482,43,,,517000,170318019012
"Block Group 3, Census Tract 8024.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802402> block group:3",67857,391,1352,962,42,329,1653,58.4,431,1548,27,624,597,11,,,219600,170318024023
"Block Group 4, Census Tract 8024.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802402> block group:4",35398,102,654,217,98,547,1144,28.2,1014,1040,9,630,597,0,,,194400,170318024024
"Block Group 2, Census Tract 8024.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802402> block group:2",80114,250,1032,1065,0,20,1169,59.5,1821,1092,34,579,534,22,,,347800,170318024022
"Block Group 3, Census Tract 8079, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:807900> block group:3",139091,319,980,933,0,68,1154,59.4,-666666666,1107,0,603,603,10,,,635300,170318079003
"Block Group 1, Census Tract 8079, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:807900> block group:1",95761,392,1080,904,0,188,1586,39.9,-666666666,1497,26,778,746,11,,,372300,170318079001
"Block Group 5, Census Tract 8246.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824602> block group:5",41410,137,628,799,101,280,1202,28.3,1145,1166,18,291,273,15,,,140900,170318246025
"Block Group 1, Census Tract 8045.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804508> block group:1",61148,242,1484,673,29,1147,2399,31.1,1174,2138,42,1390,1337,35,,,162100,170318045081
"Block Group 1, Census Tract 8045.06, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804506> block group:1",123611,358,879,905,0,145,1233,45.9,-666666666,1181,10,631,601,26,,,375800,170318045061
"Block Group 2, Census Tract 8045.06, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804506> block group:2",94722,258,1007,1217,3,36,1440,37.8,2556,1316,0,562,562,24,,,289600,170318045062
"Block Group 2, Census Tract 8044.05, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804405> block group:2",35485,41,704,202,319,628,1185,30.8,899,1080,81,543,462,24,,,187500,170318044052
"Block Group 3, Census Tract 8043.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804308> block group:3",75877,361,1055,598,50,478,1473,42.2,1696,1246,70,1116,1046,62,,,175700,170318043083
"Block Group 1, Census Tract 8043.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804308> block group:1",54670,411,2093,1138,13,776,2806,42.5,1815,2637,32,1644,1570,15,,,181800,170318043081
"Block Group 2, Census Tract 3017.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301702> block group:2",44100,30,704,0,0,1362,1362,26.1,881,1243,13,656,643,206,,,131700,170313017022
"Block Group 1, Census Tract 3017.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301702> block group:1",34911,48,710,87,0,1091,1178,29.4,876,1070,51,490,413,47,,,154200,170313017021
"Block Group 3, Census Tract 7003.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:700301> block group:3",78816,192,1461,386,40,2254,2761,25.9,1313,2489,85,1196,1075,85,,,174700,170317003013
"Block Group 1, Census Tract 3018.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301801> block group:1",36292,27,642,102,0,1059,1174,33.1,889,938,56,526,470,0,,,155300,170313018011
"Block Group 2, Census Tract 3018.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301801> block group:2",37866,140,1587,73,2,2318,2394,34.5,869,2138,72,918,846,48,,,150700,170313018012
"Block Group 3, Census Tract 4909.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490902> block group:3",49583,154,699,7,1026,0,1051,39.8,812,974,89,418,329,114,,,150000,170314909023
"Block Group 4, Census Tract 4909.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490902> block group:4",-666666666,88,465,0,663,0,663,43.6,1680,654,26,315,283,40,,,125400,170314909024
"Block Group 3, Census Tract 4909.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:490901> block group:3",36541,57,525,0,860,0,860,39.4,1011,737,30,337,307,70,,,102100,170314909013
"Block Group 3, Census Tract 3009, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:300900> block group:3",31069,78,569,51,2,797,850,36.0,772,823,28,334,306,65,,,-666666666,170313009003
"Block Group 2, Census Tract 3011, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301100> block group:2",29667,41,761,19,134,1053,1229,32.6,704,1152,70,531,446,178,,,153900,170313011002
"Block Group 3, Census Tract 3012, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:301200> block group:3",31607,38,1291,58,3,2311,2372,28.8,928,2205,73,875,802,145,,,163900,170313012003
"Block Group 3, Census Tract 8030.15, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:803015> block group:3",110833,228,767,848,18,165,1031,50.6,-666666666,970,20,494,474,30,,,390200,170318030153
"Block Group 3, Census Tract 8026.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802608> block group:3",121694,163,631,779,0,47,926,43.2,-666666666,864,0,395,395,14,,,353300,170318026083
"Block Group 1, Census Tract 8026.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802608> block group:1",54962,456,1727,1705,0,104,2006,55.4,1112,1930,109,1101,926,26,,,223200,170318026081
"Block Group 2, Census Tract 8030.13, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:803013> block group:2",139519,552,1807,2141,0,299,2580,42.3,1617,2328,24,1373,1322,134,,,306200,170318030132
"Block Group 1, Census Tract 8030.13, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:803013> block group:1",50063,412,1443,1256,16,288,1799,47.5,1221,1694,0,986,986,18,,,216300,170318030131
"Block Group 2, Census Tract 8024.04, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802404> block group:2",49852,540,1825,923,62,704,2395,34.1,1188,2215,17,1405,1376,17,,,162800,170318024042
"Block Group 3, Census Tract 8024.04, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:802404> block group:3",76029,239,623,466,0,415,1122,30.6,1561,1016,12,666,632,38,,,262100,170318024043
"Block Group 1, Census Tract 1403.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:140302> block group:1",128542,109,422,338,0,85,573,34.8,983,573,25,409,369,99,,,172800,170311403021
"Block Group 2, Census Tract 1403.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:140302> block group:2",76164,198,1184,499,41,747,1615,34.9,1346,1522,14,982,860,342,,,311100,170311403022
"Block Group 2, Census Tract 1504.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150402> block group:2",79306,77,657,720,20,94,843,37.7,1189,774,31,460,429,56,,,308600,170311504022
"Block Group 1, Census Tract 1504.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150402> block group:1",84773,197,563,320,0,217,679,41.8,931,647,28,433,405,124,,,315900,170311504021
"Block Group 4, Census Tract 1105.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110501> block group:4",-666666666,77,412,333,1,104,439,50.6,1159,439,38,349,311,67,,,348800,170311105014
"Block Group 1, Census Tract 1105.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110501> block group:1",84243,186,783,949,0,92,1052,43.0,1313,962,0,598,576,156,,,322800,170311105011
"Block Group 5, Census Tract 1105.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110501> block group:5",111375,135,301,173,4,274,460,37.2,1662,422,12,213,201,12,,,294900,170311105015
"Block Group 3, Census Tract 1105.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:110501> block group:3",78125,339,1486,811,36,559,1935,42.5,1135,1857,67,1119,1052,238,,,334400,170311105013
"Block Group 2, Census Tract 105.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010502> block group:2",35795,351,1202,1057,498,169,1965,31.1,984,1899,18,1285,1236,518,,,224500,170310105022
"Block Group 2, Census Tract 105.03, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010503> block group:2",26964,72,407,387,104,45,552,29.5,848,510,46,392,327,174,,,184700,170310105032
"Block Group 4, Census Tract 107.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:4",37457,104,479,156,190,264,677,40.3,1066,649,40,371,331,162,,,-666666666,170310107024
"Block Group 1, Census Tract 107.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:1",47965,211,1137,600,849,536,2114,27.4,1034,1995,25,1234,1209,584,,,190100,170310107021
"Block Group 2, Census Tract 107.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:2",42371,154,564,381,147,267,817,31.6,956,817,35,499,454,211,,,168100,170310107022
"Block Group 3, Census Tract 105.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:3",22484,402,1036,791,113,118,1169,45.8,956,1148,16,676,641,230,,,330500,170310105013
"Block Group 3, Census Tract 8061.04, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806104> block group:3",82039,295,1203,710,50,223,1506,47.1,1176,1339,0,1066,1054,84,,,141300,170318061043
"Block Group 1, Census Tract 8061.04, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806104> block group:1",27486,381,1068,448,453,214,1583,32.1,929,1526,96,1042,946,89,,,-666666666,170318061041
"Block Group 3, Census Tract 7706.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:770601> block group:3",88068,181,590,427,0,0,768,53.1,-666666666,740,0,423,414,5,,,242500,170317706013
"Block Group 2, Census Tract 8258.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825801> block group:2",64833,208,898,28,1296,96,1420,40.3,1132,1370,179,896,650,108,,,103500,170318258012
"Block Group 3, Census Tract 8258.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825801> block group:3",44102,64,697,32,1202,0,1245,26.8,940,1165,132,657,517,102,,,-666666666,170318258013
"Block Group 1, Census Tract 8277, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827700> block group:1",42857,162,946,94,1371,307,1792,25.9,1536,1731,141,803,662,98,,,76900,170318277001
"Block Group 4, Census Tract 8279.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827902> block group:4",38828,140,735,250,653,112,1030,39.3,962,1030,43,522,468,0,,,79000,170318279024
"Block Group 3, Census Tract 8279.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827902> block group:3",58750,5,207,82,44,148,322,42.6,1238,289,7,148,127,7,,,82700,170318279023
"Block Group 1, Census Tract 8279.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827902> block group:1",75341,78,534,148,554,207,919,35.9,1685,851,76,550,467,28,,,142300,170318279021
"Block Group 5, Census Tract 8281, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828100> block group:5",43285,117,547,263,568,200,1053,27.0,1170,982,0,381,381,74,,,117200,170318281005
"Block Group 4, Census Tract 8281, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828100> block group:4",70057,16,598,391,67,466,924,42.2,822,846,0,437,437,38,,,128000,170318281004
"Block Group 2, Census Tract 8281, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828100> block group:2",52727,257,1085,1050,190,226,1517,48.6,1064,1466,161,868,707,0,,,131700,170318281002
"Block Group 2, Census Tract 8286.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828602> block group:2",96757,483,1828,596,1834,38,2572,46.0,1569,2534,15,1233,1164,120,,,186600,170318286022
"Block Group 2, Census Tract 8087.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:808702> block group:2",200909,64,138,1494,171,244,2597,19.9,2714,2582,78,883,739,105,,,472700,170318087022
"Block Group 3, Census Tract 4603.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:460301> block group:3",30529,35,399,49,743,289,1081,20.0,935,886,119,489,359,234,,,95000,170314603013
"Block Group 3, Census Tract 4603.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:460302> block group:3",29236,15,516,63,486,128,677,40.7,860,629,77,409,316,101,,,-666666666,170314603023
"Block Group 1, Census Tract 4603.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:460302> block group:1",21625,46,414,7,644,0,651,38.3,890,550,24,209,166,24,,,141700,170314603021
"Block Group 4, Census Tract 4603.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:460302> block group:4",27990,38,711,7,1325,27,1359,28.3,1010,1315,193,456,249,52,,,100300,170314603024
"Block Group 2, Census Tract 4313.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:431302> block group:2",31250,33,501,23,789,31,843,34.4,941,748,106,426,309,171,,,-666666666,170314313022
"Block Group 1, Census Tract 4313.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:431302> block group:1",20188,12,765,9,884,314,1216,34.7,757,1099,219,617,398,210,,,-666666666,170314313021
"Block Group 1, Census Tract 7114, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:711400> block group:1",57772,59,600,0,839,91,955,32.5,963,905,61,475,400,108,,,151900,170317114001
"Block Group 2, Census Tract 7114, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:711400> block group:2",40769,25,585,2,941,0,950,43.8,958,898,31,320,272,102,,,147600,170317114002
"Block Group 3, Census Tract 7203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720300> block group:3",123507,361,890,1000,226,64,1335,44.2,-666666666,1226,1,657,639,152,,,373000,170317203003
"Block Group 4, Census Tract 7203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720300> block group:4",-666666666,163,660,438,343,28,878,46.3,-666666666,815,14,390,376,49,,,305200,170317203004
"Block Group 2, Census Tract 7203, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720300> block group:2",118676,209,586,287,387,146,877,45.2,-666666666,737,30,361,303,30,,,359400,170317203002
"Block Group 3, Census Tract 7401, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:740100> block group:3",97639,79,451,458,0,114,611,38.6,-666666666,580,9,311,289,13,,,228400,170317401003
"Block Group 2, Census Tract 7401, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:740100> block group:2",94792,97,298,485,0,0,485,26.8,-666666666,453,106,284,178,42,,,206600,170317401002
"Block Group 4, Census Tract 7401, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:740100> block group:4",89125,145,909,1133,0,221,1413,41.4,1016,1282,21,694,653,28,,,220600,170317401004
"Block Group 1, Census Tract 8288.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828802> block group:1",90880,105,693,314,365,211,934,53.0,-666666666,901,0,572,572,71,,,117900,170318288021
"Block Group 2, Census Tract 8288.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828802> block group:2",70446,48,727,479,339,142,969,40.8,-666666666,908,57,606,549,0,,,130100,170318288022
"Block Group 2, Census Tract 8289, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828900> block group:2",53393,25,334,14,157,238,411,32.6,959,402,108,322,214,3,,,-666666666,170318289002
"Block Group 1, Census Tract 8062.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806201> block group:1",49404,531,2194,1760,31,515,2733,39.6,1123,2556,57,1768,1690,146,,,215100,170318062011
"Block Group 2, Census Tract 8062.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806201> block group:2",45625,344,1444,1115,74,594,2112,38.3,1029,2025,119,1059,905,143,,,184100,170318062012
"Block Group 1, Census Tract 8062.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806202> block group:1",34179,252,571,499,15,72,674,48.1,279,597,12,332,320,24,,,178500,170318062021
"Block Group 2, Census Tract 8062.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806202> block group:2",55833,448,1691,1590,140,231,2183,48.9,1039,2098,59,1185,1113,63,,,221200,170318062022
"Block Group 3, Census Tract 8062.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:806202> block group:3",58711,418,1769,1619,74,78,1981,58.4,1234,1956,3,969,951,18,,,247600,170318062023
"Block Group 3, Census Tract 8047.16, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804716> block group:3",94205,142,726,561,25,118,979,43.4,1176,959,24,587,553,11,,,223500,170318047163
"Block Group 1, Census Tract 8047.16, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804716> block group:1",103015,284,1012,694,17,214,1418,43.3,2170,1298,39,696,657,39,,,316500,170318047161
"Block Group 2, Census Tract 8047.16, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804716> block group:2",92260,455,1508,853,129,233,2278,38.7,1917,2136,103,1274,1163,46,,,285300,170318047162
"Block Group 1, Census Tract 8046.11, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804611> block group:1",97685,213,1008,1198,20,93,1441,43.4,1650,1343,61,754,693,32,,,319400,170318046111
"Block Group 2, Census Tract 8046.11, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804611> block group:2",71786,470,1489,1274,28,200,1974,45.2,1328,1839,33,1113,1071,88,,,173000,170318046112
"Block Group 2, Census Tract 8046.08, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804608> block group:2",75781,93,356,356,0,59,505,42.7,-666666666,468,0,227,227,0,,,240600,170318046082
"Block Group 2, Census Tract 8046.09, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804609> block group:2",73625,319,1222,690,103,0,1466,47.4,1517,1420,27,1030,989,31,,,178600,170318046092
"Block Group 3, Census Tract 8046.09, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804609> block group:3",98040,485,1228,1216,0,14,1800,37.2,1640,1700,44,1265,1193,99,,,448300,170318046093
"Block Group 2, Census Tract 8045.11, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:804511> block group:2",55750,36,264,45,79,351,511,26.2,981,470,0,273,252,0,,,165700,170318045112
"Block Group 1, Census Tract 207.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:1",37250,430,1586,1533,15,498,2444,37.1,1165,2167,193,1153,960,58,,,225600,170310207021
"Block Group 1, Census Tract 7608.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:760802> block group:1",54177,517,2153,2360,15,168,2553,52.1,1043,2503,31,1339,1308,152,,,333300,170317608021
"Block Group 2, Census Tract 1505.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150502> block group:2",61987,197,753,649,35,228,1020,43.6,1273,929,9,489,461,33,,,272800,170311505022
"Block Group 3, Census Tract 1505.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:150502> block group:3",72250,196,821,822,10,342,1252,38.6,1102,1154,17,488,471,14,,,297300,170311505023
"Block Group 2, Census Tract 8246.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824602> block group:2",92019,306,1097,1285,0,76,1445,41.8,-666666666,1409,68,932,864,84,,,192800,170318246022
"Block Group 3, Census Tract 8246.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824602> block group:3",41618,123,1216,1190,118,436,1884,46.7,1029,1865,0,1017,880,75,,,148200,170318246023
"Block Group 3, Census Tract 8258.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825802> block group:3",56591,121,1549,23,1558,574,2188,42.4,1684,2188,214,1138,896,116,,,132100,170318258023
"Block Group 1, Census Tract 8258.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:825802> block group:1",53142,315,1827,162,2701,0,2863,29.2,1117,2623,360,1576,1167,0,,,138800,170318258021
"Block Group 1, Census Tract 8276, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827600> block group:1",40125,34,472,0,713,0,713,31.6,1229,679,72,346,274,68,,,135900,170318276001
"Block Group 2, Census Tract 8276, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:827600> block group:2",32188,41,1241,27,1669,19,1726,39.3,1527,1643,156,777,584,55,,,84600,170318276002
"Block Group 2, Census Tract 8246.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824601> block group:2",50972,121,700,818,92,60,970,44.5,1083,843,28,469,431,10,,,273600,170318246012
"Block Group 3, Census Tract 8246.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824601> block group:3",58587,78,445,502,46,105,653,40.6,-666666666,630,23,381,358,25,,,198800,170318246013
"Block Group 4, Census Tract 8246.01, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824601> block group:4",86615,213,1109,1296,21,306,1623,35.6,1750,1509,52,1019,956,53,,,192600,170318246014
"Block Group 3, Census Tract 8247.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:824702> block group:3",59896,162,1649,997,182,760,1989,43.0,1434,1956,115,1157,1042,69,,,140200,170318247023
"Block Group 2, Census Tract 2002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:200200> block group:2",46250,108,1013,192,0,1183,1385,41.0,1128,1296,7,995,976,210,,,291700,170312002002
"Block Group 4, Census Tract 2002, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:200200> block group:4",55142,95,712,155,96,856,1124,37.7,1072,1104,67,645,578,167,,,273500,170312002004
"Block Group 1, Census Tract 2214, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221400> block group:1",107361,323,677,390,0,402,891,33.2,1614,831,37,673,636,332,,,395000,170312214001
"Block Group 2, Census Tract 2214, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:221400> block group:2",94931,335,645,519,0,147,731,33.0,1819,719,8,694,667,303,,,421200,170312214002
"Block Group 1, Census Tract 2303, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:230300> block group:1",50242,74,618,110,101,757,972,31.2,1017,865,51,559,503,87,,,274200,170312303001
"Block Group 1, Census Tract 8280, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828000> block group:1",58160,100,622,501,39,350,928,37.3,-666666666,853,97,520,395,35,,,120100,170318280001
"Block Group 3, Census Tract 8280, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828000> block group:3",35033,140,1165,294,1157,219,1769,38.7,888,1702,27,779,742,66,,,122100,170318280003
"Block Group 4, Census Tract 8280, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828000> block group:4",54940,114,846,891,259,165,1390,39.6,1408,1358,84,735,610,12,,,121000,170318280004
"Block Group 3, Census Tract 8282.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828202> block group:3",36908,160,815,304,484,89,896,57.1,882,883,10,580,570,35,,,99100,170318282023
"Block Group 1, Census Tract 8282.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:828202> block group:1",106371,203,1023,570,635,292,1497,37.9,-666666666,1380,60,733,613,0,,,184700,170318282021
"Block Group 1, Census Tract 8293.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:829302> block group:1",19407,31,488,35,695,77,938,29.3,902,889,14,369,355,33,,,139200,170318293021
"Block Group 7, Census Tract 2505, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:250500> block group:7",94938,333,895,658,149,440,1247,44.3,1317,1210,114,914,800,149,,,268200,170312505007
"Block Group 5, Census Tract 2505, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:250500> block group:5",128450,94,343,210,105,135,475,42.6,-666666666,460,0,243,243,16,,,284500,170312505005
"Block Group 1, Census Tract 2510, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:251000> block group:1",29671,30,654,23,789,210,1022,30.7,923,918,80,503,413,83,,,170300,170312510001
"Block Group 4, Census Tract 2514, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:251400> block group:4",21865,113,859,229,878,39,1196,48.1,393,1099,11,540,529,216,,,222600,170312514004
"Block Group 1, Census Tract 2514, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:251400> block group:1",-666666666,83,339,12,381,41,434,50.4,734,434,17,221,204,74,,,-666666666,170312514001
"Block Group 2, Census Tract 2608, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:260800> block group:2",21964,0,796,70,1454,15,1633,23.4,1188,1477,93,430,329,135,,,173400,170312608002
"Block Group 4, Census Tract 8157.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815702> block group:4",71649,132,527,384,0,170,682,43.5,986,682,16,440,424,76,,,409500,170318157024
"Block Group 2, Census Tract 8157.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815702> block group:2",79236,166,973,1128,67,209,1404,42.1,1167,1316,38,694,640,75,,,260900,170318157022
"Block Group 5, Census Tract 8157.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815702> block group:5",115982,265,671,779,0,197,1122,33.8,1676,1001,39,687,633,170,,,513300,170318157025
"Block Group 1, Census Tract 8158, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:815800> block group:1",95096,295,1186,1343,11,234,1626,45.4,971,1538,60,817,736,88,,,337800,170318158001
"Block Group 5, Census Tract 8161, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:816100> block group:5",46964,174,898,464,364,198,1149,42.0,1055,1085,21,780,759,109,,,174500,170318161005
"Block Group 4, Census Tract 8161, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:816100> block group:4",49545,59,398,231,209,35,492,51.6,1163,492,83,318,235,78,,,305300,170318161004
"Block Group 2, Census Tract 8161, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:816100> block group:2",76211,396,845,746,235,27,1184,37.2,1125,1134,16,713,689,126,,,304100,170318161002
"Block Group 1, Census Tract 8161, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:816100> block group:1",92784,166,692,617,239,11,982,31.9,1300,913,38,482,444,85,,,289200,170318161001
"Block Group 4, Census Tract 8163, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:816300> block group:4",77125,85,584,326,0,399,725,42.8,-666666666,684,69,501,406,0,,,177200,170318163004
"Block Group 2, Census Tract 8170, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:817000> block group:2",38586,0,504,5,474,302,783,32.7,900,711,19,390,364,32,,,167800,170318170002
"Block Group 3, Census Tract 8170, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:817000> block group:3",55208,121,527,0,663,32,695,46.6,856,651,31,393,362,24,,,140200,170318170003
"Block Group 1, Census Tract 8170, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:817000> block group:1",30851,45,407,50,242,376,668,30.5,1319,557,15,310,295,0,,,163000,170318170001
