index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 3; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:3",46324,319,817,288,710,287,1353,30.6,1510,1296,0,733,733,124,,,190800,170310107023
"Block Group 4; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:4",68125,174,856,197,589,723,1577,32.3,1460,1265,89,605,467,157,,,161900,170310107024
"Block Group 1; Census Tract 201; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020100> block group:1",81250,316,1477,625,833,480,2006,41.0,1195,1902,119,1262,1137,189,,,245800,170310201001
"Block Group 2; Census Tract 201; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020100> block group:2",45368,420,1537,340,688,547,1921,36.7,1528,1783,110,1167,1008,116,,,207300,170310201002
"Block Group 1; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:1",116406,196,772,1189,65,14,1441,27.3,-666666666,1193,39,580,471,38,,,397800,170310202001
"Block Group 2; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:2",82074,81,782,392,22,782,1219,32.0,1314,1167,21,580,527,107,,,485700,170310202002
"Block Group 3; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:3",140288,452,1581,1081,148,636,2511,34.7,-666666666,2300,56,1071,952,0,,,403100,170310202003
"Block Group 4; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:4",145389,454,1139,618,259,710,2032,38.7,1175,1798,37,1091,999,237,,,319300,170310202004
"Block Group 1; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:1",66382,536,1649,1505,25,136,1773,63.6,-666666666,1734,132,840,708,83,,,175300,170310203011
"Block Group 2; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:2",87875,507,1090,1298,12,8,1722,32.5,1970,1428,33,733,681,12,,,195500,170310203012
"Block Group 3; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:3",82292,221,971,1448,62,203,1937,25.1,1250,1687,36,786,750,101,,,586900,170310203013
"Block Group 1; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:1",83590,287,873,823,158,213,1349,37.4,1354,1250,12,581,569,121,,,369600,170310203021
"Block Group 2; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:2",95101,266,869,1299,37,249,1751,23.9,1955,1734,174,845,671,197,,,440300,170310203022
"Block Group 3; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:3",84120,457,1667,1537,170,190,2101,50.4,1255,1974,79,1088,1009,167,,,353000,170310203023
"Block Group 1; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:1",76944,253,878,261,135,805,1251,34.5,1437,1179,9,815,727,38,,,430000,170310204001
"Block Group 2; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:2",87083,372,863,473,326,82,1145,48.7,1181,1103,72,576,498,60,,,366300,170310204002
"Block Group 3; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:3",70815,318,1309,699,347,616,1860,36.0,1328,1735,76,1054,954,119,,,267700,170310204003
"Block Group 1; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:1",42745,384,1964,434,716,17,2995,37.0,1120,2559,21,1277,1201,201,,,201300,170310205001
"Block Group 2; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:2",73816,192,912,179,111,853,1489,30.5,1528,1433,53,838,785,275,,,209700,170310205002
"Block Group 3; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:3",26479,108,935,418,133,112,1253,50.8,383,1180,60,370,310,25,,,156500,170310205003
"Block Group 4; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:4",-666666666,75,744,322,84,77,909,44.4,1330,877,73,431,318,0,,,-666666666,170310205004
"Block Group 1; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:1",114042,230,724,1110,0,61,1267,32.6,1662,1135,57,588,531,12,,,433000,170310206011
"Block Group 2; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:2",58566,732,2053,1509,81,370,3336,34.7,1516,3208,102,1436,1334,207,,,311800,170310206012
"Block Group 3; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:3",50243,119,847,263,54,378,1265,39.9,1173,1216,19,595,562,135,,,211600,170310206013
"Block Group 1; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:1",63951,170,628,291,109,103,1138,33.1,1348,1091,0,355,355,12,,,327800,170310206021
"Block Group 2; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:2",75781,144,702,156,123,554,1336,30.3,1250,1170,0,599,599,145,,,467800,170310206022
"Block Group 3; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:3",83438,130,749,263,134,576,1242,33.6,1533,1104,22,751,671,54,,,474200,170310206023
"Block Group 4; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:4",-666666666,929,1327,1257,107,154,1627,39.5,1633,1530,48,1199,1151,15,,,576800,170310206024
"Block Group 1; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:1",65288,209,811,581,115,234,1058,46.9,1433,988,44,531,478,31,,,483500,170310207011
"Block Group 2; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:2",115313,162,532,490,60,29,670,55.2,1458,648,33,382,349,52,,,397900,170310207012
"Block Group 1; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:1",71595,150,1108,797,59,287,1737,41.0,1162,1613,70,711,549,16,,,128900,170310207021
"Block Group 2; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:2",58379,122,1594,554,20,1387,2875,29.4,1241,2703,14,1197,1183,84,,,309900,170310207022
"Block Group 3; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:3",56292,332,1338,759,9,262,1969,38.3,1173,1715,120,800,680,74,,,220800,170310207023
"Block Group 4; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:4",84300,236,1021,1371,210,38,1831,25.8,1384,1812,102,926,824,0,,,144800,170310207024
"Block Group 1; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:1",57455,144,734,652,0,370,1042,45.9,1540,1036,34,747,713,194,,,281400,170310208011
"Block Group 2; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:2",86114,352,1176,447,513,413,1719,50.2,1661,1598,0,1172,619,53,,,470800,170310208012
"Block Group 3; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:3",89886,173,1091,652,131,502,1480,40.8,1390,1406,45,934,724,128,,,350000,170310208013
"Block Group 4; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:4",36710,244,1328,398,126,648,1749,38.0,1131,1651,22,1018,996,81,,,375400,170310208014
"Block Group 1; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:1",108250,266,1012,795,0,379,1490,44.7,1399,1447,75,720,606,20,,,368900,170310208021
"Block Group 2; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:2",56782,479,1533,518,3,584,2810,27.4,1778,2427,180,1116,936,48,,,422100,170310208022
"Block Group 3; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:3",59970,144,1556,807,287,860,2434,35.5,1436,2240,75,1036,937,27,,,532600,170310208023
"Block Group 4; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:4",-666666666,236,856,107,292,393,1981,20.7,1341,1839,18,625,607,79,,,-666666666,170310208024
"Block Group 1; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:1",47361,427,1642,190,906,691,2475,37.1,1305,2381,57,1469,1412,206,,,229300,170310209011
"Block Group 2; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:2",44315,135,589,395,152,166,875,41.1,1185,822,10,443,412,38,,,143800,170310209012
"Block Group 3; Census Tract 209.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020901> block group:3",59722,267,1774,789,431,729,2829,33.7,1464,2715,45,1544,1404,196,,,217900,170310209013
"Block Group 1; Census Tract 209.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020902> block group:1",46545,350,1889,723,724,211,2401,42.7,1258,2263,21,973,925,247,,,118300,170310209021
"Block Group 2; Census Tract 209.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020902> block group:2",52009,285,1301,691,116,431,1964,39.2,1309,1852,26,758,675,76,,,107100,170310209022
"Block Group 1; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:1",-666666666,101,562,240,205,182,723,42.3,986,713,12,364,342,214,,,-666666666,170310301011
"Block Group 2; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:2",42847,179,460,289,35,71,555,32.7,1386,555,196,425,229,81,,,179200,170310301012
"Block Group 3; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:3",41384,268,1000,210,658,52,1342,31.4,1084,1215,164,713,549,239,,,-666666666,170310301013
"Block Group 4; Census Tract 301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030101> block group:4",82946,213,844,581,12,49,897,60.3,2180,880,57,519,462,216,,,263300,170310301014
"Block Group 1; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:1",68512,228,744,419,55,68,919,50.9,1595,919,35,550,515,156,,,256300,170310301021
"Block Group 2; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:2",46079,266,827,407,259,134,954,38.9,1058,942,77,734,653,274,,,340900,170310301022
"Block Group 3; Census Tract 301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030102> block group:3",58634,238,885,261,138,166,1179,45.9,1173,1179,45,709,664,179,,,216300,170310301023
"Block Group 1; Census Tract 301.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030103> block group:1",39808,120,489,575,75,286,1219,21.2,927,1219,29,516,474,151,,,322000,170310301031
"Block Group 2; Census Tract 301.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030103> block group:2",55500,353,811,548,244,163,1078,33.3,1280,1078,84,763,654,323,,,142100,170310301032
"Block Group 1; Census Tract 301.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030104> block group:1",65192,206,908,1468,214,388,2623,21.0,1503,2602,113,952,821,203,,,146100,170310301041
"Block Group 2; Census Tract 301.04; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030104> block group:2",30099,70,266,344,52,77,483,26.9,1048,467,40,304,264,132,,,-666666666,170310301042
"Block Group 1; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:1",72734,424,949,929,58,170,1376,33.5,1177,1314,45,982,937,323,,,461500,170310302001
"Block Group 2; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:2",56875,226,864,894,32,207,1258,35.0,1364,1178,81,839,758,288,,,383300,170310302002
"Block Group 3; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:3",203676,274,771,779,0,104,994,37.0,2000,902,12,656,644,141,,,611100,170310302003
"Block Group 4; Census Tract 302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030200> block group:4",102294,547,1642,975,0,803,1926,35.1,1617,1870,89,1326,1191,211,,,423900,170310302004
"Block Group 1; Census Tract 303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030300> block group:1",77984,271,1145,386,322,559,1636,36.6,1211,1515,94,1105,1011,403,,,-666666666,170310303001
"Block Group 2; Census Tract 303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030300> block group:2",54882,385,1415,642,423,499,2006,35.8,1016,1883,15,1074,1059,378,,,360900,170310303002
"Block Group 1; Census Tract 304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:030400> block group:1",82396,253,1166,1030,123,233,1489,40.6,1151,1412,64,814,722,121,,,437500,170310304001
