index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 1; Census Tract 3814; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381400> block group:1",34300,151,1056,23,1358,145,1615,39.3,1088,1539,228,872,601,126,,,221100,170313814001
"Block Group 1; Census Tract 3815; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381500> block group:1",23288,64,473,12,632,0,670,52.8,902,644,84,282,198,79,,,-666666666,170313815001
"Block Group 1; Census Tract 3817; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381700> block group:1",-666666666,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,,,-666666666,170313817001
"Block Group 1; Census Tract 3818; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381800> block group:1",84934,149,629,50,824,0,931,37.5,1355,845,69,535,466,64,,,392500,170313818001
"Block Group 2; Census Tract 3818; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381800> block group:2",-666666666,72,453,39,457,35,552,46.4,920,552,48,322,255,9,,,320300,170313818002
"Block Group 1; Census Tract 3819; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381900> block group:1",63221,111,459,111,553,6,670,45.2,-666666666,628,91,370,271,0,,,233300,170313819001
"Block Group 2; Census Tract 3819; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:381900> block group:2",58026,42,485,13,602,27,678,36.7,906,653,99,356,220,18,,,333300,170313819002
"Block Group 1; Census Tract 3901; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390100> block group:1",65833,254,1105,162,1424,84,1854,28.6,967,1625,109,900,782,237,,,445800,170313901001
"Block Group 1; Census Tract 3902; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390200> block group:1",92083,103,445,75,437,8,669,39.5,1365,634,13,430,417,35,,,311500,170313902001
"Block Group 2; Census Tract 3902; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390200> block group:2",115594,304,981,253,951,83,1509,39.0,1459,1421,98,803,661,49,,,347400,170313902002
"Block Group 1; Census Tract 3903; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390300> block group:1",14186,115,699,17,795,0,812,63.1,551,812,75,315,240,152,,,-666666666,170313903001
"Block Group 2; Census Tract 3903; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390300> block group:2",-666666666,151,1392,269,1427,47,1852,39.1,1117,1745,253,800,547,125,,,-666666666,170313903002
"Block Group 1; Census Tract 3904; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390400> block group:1",-666666666,193,834,70,1193,1,1309,29.9,1046,1217,128,638,485,84,,,402200,170313904001
"Block Group 2; Census Tract 3904; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390400> block group:2",24734,136,867,57,839,38,980,61.0,618,936,11,371,336,84,,,263600,170313904002
"Block Group 1; Census Tract 3905; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390500> block group:1",58194,311,1308,444,1010,117,1766,40.7,1235,1613,50,943,838,200,,,657100,170313905001
"Block Group 1; Census Tract 3906; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390600> block group:1",-666666666,283,730,218,676,0,956,37.3,1339,948,55,607,439,142,,,458100,170313906001
"Block Group 2; Census Tract 3906; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390600> block group:2",119107,103,576,565,162,22,868,36.6,1434,821,11,526,500,86,,,625000,170313906002
"Block Group 1; Census Tract 3907; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390700> block group:1",103337,423,1782,816,1215,0,2394,48.7,972,2176,0,969,953,144,,,226400,170313907001
"Block Group 2; Census Tract 3907; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390700> block group:2",69841,248,853,373,574,0,1027,59.1,1073,1027,34,439,385,47,,,427300,170313907002
"Block Group 3; Census Tract 3907; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:390700> block group:3",56272,452,1874,554,1435,45,2641,35.2,1888,2599,122,1540,1418,467,,,141300,170313907003
"Block Group 1; Census Tract 4003; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400300> block group:1",84293,215,1032,50,1193,90,1361,40.4,1190,1270,160,772,612,177,,,239600,170314003001
"Block Group 1; Census Tract 4004; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400400> block group:1",-666666666,64,770,47,1225,10,1380,31.6,1057,1312,60,548,488,121,,,232900,170314004001
"Block Group 2; Census Tract 4004; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400400> block group:2",56250,90,514,7,792,21,824,34.3,1221,757,88,348,199,29,,,158300,170314004002
"Block Group 1; Census Tract 4005; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400500> block group:1",21786,156,961,8,1741,38,1787,28.7,1112,1704,94,782,668,212,,,9999,170314005001
"Block Group 2; Census Tract 4005; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400500> block group:2",-666666666,73,433,47,800,0,847,26.0,1320,762,0,305,266,63,,,718800,170314005002
"Block Group 1; Census Tract 4008; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400800> block group:1",-666666666,0,628,0,1101,0,1101,35.3,1153,994,82,602,479,286,,,-666666666,170314008001
"Block Group 2; Census Tract 4008; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:400800> block group:2",14063,79,858,0,1643,0,1667,25.2,677,1610,141,688,547,330,,,11500,170314008002
"Block Group 1; Census Tract 4101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410100> block group:1",47222,143,559,297,277,45,778,30.4,1279,751,0,504,494,228,,,-666666666,170314101001
"Block Group 2; Census Tract 4101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410100> block group:2",57059,468,1160,456,652,51,1473,32.3,1670,1440,18,939,909,298,,,227500,170314101002
"Block Group 1; Census Tract 4102; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410200> block group:1",51739,234,775,516,374,182,1281,27.0,1303,1233,23,882,847,217,,,268800,170314102001
"Block Group 1; Census Tract 4105; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410500> block group:1",106544,223,1101,324,755,96,1809,31.4,1555,1691,31,1105,1053,191,,,394400,170314105001
"Block Group 2; Census Tract 4105; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410500> block group:2",40789,297,1020,403,964,123,1596,28.2,1491,1578,36,932,889,327,,,230100,170314105002
"Block Group 1; Census Tract 4106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410600> block group:1",69167,228,837,461,338,190,1244,31.2,1846,1212,24,746,697,119,,,378900,170314106001
"Block Group 2; Census Tract 4106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410600> block group:2",38589,126,471,646,70,63,1005,22.7,1757,995,52,634,455,60,,,-666666666,170314106002
"Block Group 1; Census Tract 4107; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410700> block group:1",45972,233,1429,1243,553,170,2541,28.4,1350,2507,84,1434,1288,233,,,303800,170314107001
"Block Group 1; Census Tract 4108; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410800> block group:1",54960,181,821,539,237,155,1191,33.8,1136,1155,23,800,777,233,,,412900,170314108001
"Block Group 2; Census Tract 4108; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410800> block group:2",59097,348,1160,768,325,108,1699,30.0,1203,1631,16,1112,1096,225,,,161500,170314108002
"Block Group 1; Census Tract 4109; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410900> block group:1",63844,39,479,327,159,35,626,34.3,1704,626,7,387,380,212,,,351600,170314109001
"Block Group 2; Census Tract 4109; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410900> block group:2",50994,117,473,148,227,177,599,33.3,1087,599,112,405,293,83,,,213900,170314109002
"Block Group 3; Census Tract 4109; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:410900> block group:3",77944,562,1687,1476,410,65,2302,39.1,1757,2197,122,1453,1323,274,,,360000,170314109003
"Block Group 1; Census Tract 4110; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411000> block group:1",48025,180,1073,637,339,76,1198,61.1,1579,1198,19,534,503,181,,,153100,170314110001
"Block Group 2; Census Tract 4110; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411000> block group:2",113443,108,311,297,69,5,374,67.2,-666666666,355,10,164,154,3,,,150600,170314110002
"Block Group 3; Census Tract 4110; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411000> block group:3",50646,364,1532,705,862,118,2359,29.7,1026,2248,124,838,714,219,,,285500,170314110003
"Block Group 1; Census Tract 4111; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411100> block group:1",119107,98,659,558,31,61,991,40.0,1346,959,46,566,441,33,,,526800,170314111001
"Block Group 2; Census Tract 4111; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411100> block group:2",127784,135,712,823,71,49,1397,25.6,2109,1363,42,742,680,19,,,571400,170314111002
"Block Group 1; Census Tract 4112; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411200> block group:1",124464,77,704,679,60,63,1042,42.2,1524,980,12,515,491,12,,,780500,170314112001
"Block Group 2; Census Tract 4112; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:411200> block group:2",-666666666,38,409,333,45,43,601,45.1,1817,572,15,264,249,7,,,465500,170314112002
"Block Group 1; Census Tract 4201; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420100> block group:1",21275,146,1126,34,1500,42,1629,47.6,880,1606,121,708,472,119,,,377800,170314201001
"Block Group 1; Census Tract 4202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420200> block group:1",30461,288,1124,381,1126,64,1796,29.5,1291,1744,108,721,554,163,,,340900,170314202001
"Block Group 1; Census Tract 4203; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420300> block group:1",38583,151,818,958,789,175,2495,21.4,1156,2420,140,1079,906,122,,,278600,170314203001
"Block Group 1; Census Tract 4204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420400> block group:1",32938,166,837,273,604,208,1327,29.4,1078,1250,72,568,489,80,,,220200,170314204001
"Block Group 1; Census Tract 4205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420500> block group:1",20208,97,642,0,933,22,955,39.5,841,955,47,419,372,92,,,415900,170314205001
"Block Group 2; Census Tract 4205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420500> block group:2",34620,219,922,20,1045,11,1085,59.0,-666666666,1058,314,630,316,79,,,144600,170314205002
"Block Group 1; Census Tract 4206; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420600> block group:1",21992,13,774,51,1359,0,1419,29.9,964,1217,54,472,418,141,,,157300,170314206001
"Block Group 2; Census Tract 4206; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420600> block group:2",-666666666,82,887,9,980,17,1244,31.3,1093,1135,224,674,450,96,,,263600,170314206002
"Block Group 1; Census Tract 4207; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420700> block group:1",59551,0,228,0,262,0,262,47.2,1150,262,11,174,163,0,,,206300,170314207001
"Block Group 2; Census Tract 4207; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420700> block group:2",-666666666,53,228,0,336,53,398,33.0,1111,398,29,192,94,6,,,-666666666,170314207002
"Block Group 3; Census Tract 4207; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420700> block group:3",22520,43,483,0,664,0,682,36.4,1121,610,53,296,234,88,,,141700,170314207003
"Block Group 4; Census Tract 4207; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420700> block group:4",2499,0,89,0,270,0,270,23.1,-666666666,218,31,44,13,0,,,-666666666,170314207004
"Block Group 5; Census Tract 4207; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420700> block group:5",28832,10,590,3,594,0,662,41.4,1178,651,114,511,397,133,,,-666666666,170314207005
"Block Group 1; Census Tract 4208; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420800> block group:1",47500,174,839,59,961,0,1123,32.0,1607,1037,60,702,590,111,,,281000,170314208001
"Block Group 2; Census Tract 4208; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:420800> block group:2",-666666666,92,837,34,1083,0,1199,43.3,1125,1114,102,525,417,130,,,237500,170314208002
"Block Group 1; Census Tract 4212; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:421200> block group:1",60681,0,582,0,1327,0,1402,24.3,1557,1350,16,648,632,29,,,313000,170314212001
"Block Group 2; Census Tract 4212; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:421200> block group:2",26563,90,478,4,564,6,584,56.4,-666666666,584,79,300,168,68,,,204200,170314212002
"Block Group 1; Census Tract 4301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430101> block group:1",18991,54,524,11,498,61,570,33.8,926,570,174,373,199,105,,,94800,170314301011
"Block Group 2; Census Tract 4301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430101> block group:2",-666666666,26,425,0,580,0,606,36.9,899,522,87,327,240,50,,,-666666666,170314301012
"Block Group 3; Census Tract 4301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430101> block group:3",37197,136,515,0,895,0,895,32.9,1161,784,114,433,319,82,,,-666666666,170314301013
"Block Group 4; Census Tract 4301.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430101> block group:4",29423,159,961,0,1363,34,1397,36.2,1167,1358,70,749,679,130,,,188700,170314301014
"Block Group 1; Census Tract 4301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430102> block group:1",60302,199,1581,78,1680,0,1868,52.4,887,1792,154,1296,1142,281,,,147200,170314301021
"Block Group 2; Census Tract 4301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430102> block group:2",62581,223,694,52,817,24,935,40.4,1139,916,45,632,587,167,,,122500,170314301022
"Block Group 3; Census Tract 4301.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430102> block group:3",19561,38,551,7,692,39,739,41.3,774,717,29,352,323,177,,,-666666666,170314301023
"Block Group 1; Census Tract 4302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430200> block group:1",54391,185,517,46,561,0,644,35.7,907,602,52,473,421,102,,,806500,170314302001
"Block Group 2; Census Tract 4302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430200> block group:2",-666666666,59,759,242,918,0,1160,33.4,948,1086,30,558,516,151,,,603200,170314302002
"Block Group 3; Census Tract 4302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430200> block group:3",38402,55,750,0,554,264,818,41.5,953,818,182,478,296,166,,,-666666666,170314302003
"Block Group 4; Census Tract 4302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430200> block group:4",26917,90,559,3,828,10,841,35.3,1049,841,219,432,213,16,,,361300,170314302004
"Block Group 5; Census Tract 4302; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430200> block group:5",-666666666,172,1855,7,1900,5,1992,39.6,-666666666,1992,133,1321,1188,623,,,-666666666,170314302005
"Block Group 1; Census Tract 4303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430300> block group:1",41563,172,950,45,1627,0,1672,27.7,1197,1551,75,799,708,216,,,230700,170314303001
"Block Group 2; Census Tract 4303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430300> block group:2",-666666666,63,289,0,556,41,597,23.8,1426,496,50,230,180,0,,,171300,170314303002
"Block Group 3; Census Tract 4303; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430300> block group:3",-666666666,0,231,2,315,24,342,41.6,1079,324,79,167,88,0,,,572900,170314303003
"Block Group 1; Census Tract 4304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430400> block group:1",-666666666,97,467,36,489,0,574,50.1,1225,574,38,284,246,114,,,182400,170314304001
"Block Group 2; Census Tract 4304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430400> block group:2",41181,4,632,18,931,0,984,30.1,1332,984,42,407,365,59,,,194600,170314304002
"Block Group 3; Census Tract 4304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430400> block group:3",89261,76,573,23,537,50,666,37.7,-666666666,666,4,372,368,64,,,272300,170314304003
"Block Group 4; Census Tract 4304; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430400> block group:4",-666666666,0,527,29,736,10,775,44.1,834,658,21,308,279,85,,,165500,170314304004
"Block Group 1; Census Tract 4305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430500> block group:1",21681,85,834,0,1055,39,1124,46.1,1014,1099,79,489,410,248,,,-666666666,170314305001
"Block Group 2; Census Tract 4305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430500> block group:2",35634,40,1108,2,1240,0,1273,43.2,1018,1273,165,649,429,206,,,-666666666,170314305002
"Block Group 3; Census Tract 4305; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430500> block group:3",-666666666,261,743,10,1465,10,1485,32.0,1156,1485,239,756,517,135,,,271900,170314305003
"Block Group 1; Census Tract 4306; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430600> block group:1",75893,87,750,11,998,77,1180,39.6,1329,1059,58,583,525,238,,,298000,170314306001
"Block Group 2; Census Tract 4306; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430600> block group:2",38137,75,697,8,1023,0,1038,32.9,1100,956,77,486,409,111,,,285000,170314306002
"Block Group 1; Census Tract 4307; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430700> block group:1",30369,298,995,79,1311,52,1451,34.2,1179,1362,301,1020,719,261,,,78300,170314307001
"Block Group 2; Census Tract 4307; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430700> block group:2",-666666666,109,651,25,767,13,805,49.8,1058,751,100,392,292,142,,,210100,170314307002
"Block Group 1; Census Tract 4308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430800> block group:1",49934,91,747,0,973,0,973,37.9,1073,933,99,559,423,127,,,234800,170314308001
"Block Group 2; Census Tract 4308; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430800> block group:2",36571,181,658,0,1015,28,1043,36.7,1245,883,58,611,553,155,,,262000,170314308002
"Block Group 1; Census Tract 4309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430900> block group:1",29481,31,620,0,800,0,827,36.8,1024,725,31,342,311,152,,,159100,170314309001
"Block Group 2; Census Tract 4309; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:430900> block group:2",43558,140,700,11,842,0,854,55.2,791,847,83,414,279,62,,,194000,170314309002
"Block Group 1; Census Tract 4312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431200> block group:1",54161,223,1102,4,1172,0,1209,52.7,1356,1209,98,801,703,241,,,231200,170314312001
"Block Group 2; Census Tract 4312; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431200> block group:2",66635,200,1065,11,1179,0,1190,59.8,-666666666,1110,67,617,527,223,,,227500,170314312002
"Block Group 1; Census Tract 4313.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431301> block group:1",37196,15,286,31,338,0,369,46.8,1305,369,54,260,206,87,,,-666666666,170314313011
"Block Group 2; Census Tract 4313.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431301> block group:2",57957,54,937,0,1491,55,1546,28.5,1178,1482,188,939,751,274,,,109100,170314313012
"Block Group 3; Census Tract 4313.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431301> block group:3",28417,181,804,137,1445,0,1640,24.7,997,1437,62,664,582,270,,,-666666666,170314313013
"Block Group 1; Census Tract 4313.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431302> block group:1",22745,30,737,0,834,467,1301,29.3,1054,1097,122,517,395,132,,,-666666666,170314313021
"Block Group 2; Census Tract 4313.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431302> block group:2",27708,115,852,34,1260,38,1332,39.1,1108,1162,169,608,439,94,,,-666666666,170314313022
"Block Group 3; Census Tract 4313.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431302> block group:3",43969,108,942,17,1107,31,1155,42.1,1021,1129,137,699,562,115,,,-666666666,170314313023
"Block Group 1; Census Tract 4314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431400> block group:1",66337,204,1241,85,1684,0,1810,31.4,1144,1627,124,1059,870,268,,,32700,170314314001
"Block Group 2; Census Tract 4314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431400> block group:2",32302,156,1198,133,1854,74,2061,30.9,831,1799,46,822,776,360,,,-666666666,170314314002
"Block Group 3; Census Tract 4314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431400> block group:3",37227,2,1585,136,2088,148,2530,31.8,885,2164,61,1029,919,266,,,48600,170314314003
"Block Group 4; Census Tract 4314; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:431400> block group:4",34549,63,1127,54,1051,49,1164,56.7,959,1164,82,529,447,258,,,-666666666,170314314004
"Block Group 1; Census Tract 4401.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440101> block group:1",26321,48,827,0,965,0,965,44.7,977,926,74,456,365,117,,,-666666666,170314401011
"Block Group 2; Census Tract 4401.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440101> block group:2",32657,142,746,0,1170,2,1172,40.4,999,1015,39,644,605,303,,,-666666666,170314401012
"Block Group 3; Census Tract 4401.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440101> block group:3",36875,48,226,0,220,0,299,27.9,815,299,0,242,242,33,,,-666666666,170314401013
"Block Group 4; Census Tract 4401.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440101> block group:4",-666666666,36,1155,3,1468,28,1550,49.1,1034,1462,299,851,498,264,,,97700,170314401014
"Block Group 1; Census Tract 4401.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440102> block group:1",35400,153,791,0,1191,0,1220,28.3,906,1125,60,715,655,135,,,-666666666,170314401021
"Block Group 2; Census Tract 4401.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440102> block group:2",56103,238,522,0,544,0,544,56.3,1031,544,37,310,273,101,,,255500,170314401022
"Block Group 3; Census Tract 4401.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440102> block group:3",41012,199,571,41,568,0,609,50.4,889,609,40,336,296,138,,,193400,170314401023
"Block Group 4; Census Tract 4401.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440102> block group:4",-666666666,28,745,0,921,26,947,32.3,807,882,154,585,431,223,,,-666666666,170314401024
"Block Group 1; Census Tract 4402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440201> block group:1",14778,282,1376,0,2174,0,2174,34.0,1031,2086,89,944,855,75,,,276900,170314402011
"Block Group 2; Census Tract 4402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440201> block group:2",48152,240,1117,0,1275,0,1349,56.8,956,1276,0,424,424,260,,,219800,170314402012
"Block Group 3; Census Tract 4402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440201> block group:3",26578,28,418,0,716,0,716,38.4,1175,716,0,300,300,154,,,-666666666,170314402013
"Block Group 4; Census Tract 4402.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440201> block group:4",-666666666,256,1251,0,1836,0,1857,27.0,1013,1819,221,1045,824,215,,,-666666666,170314402014
"Block Group 1; Census Tract 4402.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440202> block group:1",31132,127,824,0,1170,37,1207,33.6,999,1164,54,391,337,93,,,275200,170314402021
"Block Group 2; Census Tract 4402.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440202> block group:2",25734,265,972,0,1068,0,1076,64.3,897,1076,76,371,295,64,,,267900,170314402022
"Block Group 3; Census Tract 4402.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440202> block group:3",62944,63,284,20,375,0,480,37.9,-666666666,432,32,226,194,52,,,192300,170314402023
"Block Group 1; Census Tract 4403; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440300> block group:1",34382,141,571,0,648,289,1098,37.6,-666666666,1098,86,277,191,2,,,-666666666,170314403001
"Block Group 2; Census Tract 4403; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440300> block group:2",30787,155,615,1,721,2,724,48.4,1183,724,90,525,435,78,,,230800,170314403002
"Block Group 3; Census Tract 4403; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440300> block group:3",45634,107,505,0,505,0,505,43.8,1075,505,0,361,333,40,,,152100,170314403003
"Block Group 4; Census Tract 4403; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440300> block group:4",86250,144,921,0,1219,0,1219,54.2,-666666666,1128,81,682,601,224,,,253400,170314403004
"Block Group 5; Census Tract 4403; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440300> block group:5",52824,0,808,0,1104,0,1104,51.5,839,1104,244,767,523,139,,,165200,170314403005
"Block Group 1; Census Tract 4406; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440600> block group:1",56250,94,551,0,770,10,780,44.1,1767,726,80,406,312,30,,,171900,170314406001
"Block Group 2; Census Tract 4406; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440600> block group:2",61833,133,582,9,760,55,832,47.7,-666666666,832,10,421,404,55,,,200000,170314406002
"Block Group 1; Census Tract 4407; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440700> block group:1",36750,66,343,0,476,215,691,22.0,1156,667,3,205,202,60,,,236700,170314407001
"Block Group 2; Census Tract 4407; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440700> block group:2",90928,109,549,0,762,0,762,49.3,1168,762,48,377,300,9,,,-666666666,170314407002
"Block Group 1; Census Tract 4408; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440800> block group:1",-666666666,66,467,0,525,31,570,48.1,897,570,45,352,297,26,,,150500,170314408001
"Block Group 2; Census Tract 4408; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440800> block group:2",35288,80,737,0,1279,15,1307,28.0,1194,1230,104,581,458,119,,,121100,170314408002
"Block Group 1; Census Tract 4409; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440900> block group:1",38995,190,644,218,839,0,1071,29.9,965,952,183,503,320,59,,,186800,170314409001
"Block Group 2; Census Tract 4409; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440900> block group:2",21525,57,294,7,359,0,366,32.8,986,361,63,216,146,0,,,312500,170314409002
"Block Group 3; Census Tract 4409; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:440900> block group:3",-666666666,165,720,0,931,0,940,60.9,986,933,65,391,326,12,,,203500,170314409003
"Block Group 1; Census Tract 4503; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:450300> block group:1",-666666666,171,907,0,1165,0,1201,46.2,1350,1201,70,627,557,131,,,184000,170314503001
"Block Group 2; Census Tract 4503; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:450300> block group:2",51750,32,483,0,764,0,816,29.5,-666666666,707,0,422,422,74,,,117400,170314503002
"Block Group 3; Census Tract 4503; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:450300> block group:3",59391,48,827,0,1141,0,1141,52.4,1285,1092,79,373,294,69,,,174700,170314503003
"Block Group 4; Census Tract 4503; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:450300> block group:4",58167,41,282,24,235,0,303,49.1,1111,303,21,205,171,24,,,-666666666,170314503004
"Block Group 1; Census Tract 4601; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:460100> block group:1",44773,72,449,32,475,0,577,53.3,791,545,27,294,243,64,,,-666666666,170314601001
